edge_u,edge_v,edge_key,W_e,affected_pairs
35898204,258758034,0,1.094166326200172,38
35898204,293321307,0,9.958070677712398,196
35898206,316282354,0,0.03483365249493588,1
35898206,255616695,0,6.6279813926059985,174
35898438,1464781123,0,0.29646075544475387,362
35898438,1464781110,0,7.915046923509247,169
35898449,318100290,0,0.0,0
35898449,154578339,0,0.1901436584154795,6
35898449,313043467,0,21.077201819475913,323
35900116,922743153,0,0.5836055496212723,6
35900116,255616657,0,3.672756904592335e-16,21
35900116,1850420464,0,0.7285488857852632,14
35900117,1583945849,0,5.541143770619272e-16,30
35900117,13296382062,0,20.0,2
35900117,255616657,0,1.629342261601601,26
35900118,258757621,0,0.7822379072980427,37
35900118,1229308999,0,0.48536904586044943,25
35900118,266720051,0,0.36618029738763613,80
35900118,36287974,0,4.7043553397932145,100
35901575,4889409447,0,34.96020785610859,66
35901575,293194731,0,65.52519282714596,548
35904769,35907784,0,0.0,5
35904769,35908449,0,0.45388592188147314,4
35904769,640587806,0,0.0,0
35904913,1723673351,0,0.8185607650701249,14
35904913,60564785,0,1.0905139941575035,9
35904913,60564793,0,3.222253471835483e-16,28
35905114,1854500278,0,30.0,3
35905114,35905125,0,1.7500924270233503e-16,11
35905114,898920427,0,60.0,6
35905125,35905114,0,110.0,11
35907778,301457370,0,0.51842881924063,22
35907778,1325099820,0,0.0,0
35907778,2370366750,0,1.3830192917882488e-16,24
35907784,35904769,0,0.3281189996450331,5
35907784,311515110,0,1.864659666859821e-16,7
35907784,35970178,0,0.0,1
35908449,457484052,0,0.0,0
35908449,5158587573,0,20.0,2
35908449,35904769,0,0.0,4
35908453,640587823,0,1.0651240708104168,166
35908453,1724610691,0,1.0179836089007088,165
35908453,640587806,0,0.0,0
35911438,997634244,0,15.479350489823723,67
35911438,35911439,0,0.7043088423701456,18
35911439,1155037754,0,20.328741471935444,16
35911653,267315576,0,0.3774146621334151,246
35911653,1602078142,0,4.273792234389847,236
35911653,2076428525,0,0.9178427198815452,14
35912046,308727692,0,0.0,0
35912046,35925425,0,0.233853158176186,5
35912569,11111411332,0,0.0,0
35912569,35925624,0,0.08372553001591357,2
