edge_u,edge_v,edge_key,W_e,affected_pairs
84846978,272608242,0,0.0,39
92353679,1772729930,0,7.18073678903373,143
92353679,287865387,0,0.0,0
95949496,272998691,0,0.0,0
95949496,253489498,0,193.8313864160422,1515
168316105,6754312649,0,0.0,0
168316105,5329047423,0,0.0,0
168316105,253486841,0,0.0,0
168316106,593815439,0,0.0,0
168316106,5329047423,0,0.0,0
168316106,253487384,0,0.0,0
209915965,593815382,0,2.5133945133462436,26
209915965,5821575730,0,100.34256692531345,752
209915965,209915966,0,433.9721283349965,650
209915966,593815385,0,35.48257029167967,39
209915966,2967531373,0,269.62832213820434,533
209915966,1186349802,0,35.24234960627076,36
245918989,272608964,0,2610.9699142039653,692
245919228,245941679,0,12.212326702860551,124
245919228,245919230,0,39.92137207161256,319
245919230,272607684,0,43.76573024085843,210
245919230,272608242,0,6.152242292614293,73
245941679,246699287,0,5.365985835873303,95
245941680,245918989,0,0.0,0
245941680,5088273989,0,500.0,50
246676922,266720803,0,9.574893684198953e-16,817
246676922,272994055,0,21.21953170759303,781
246698702,5667805659,0,0.0,0
246698702,253634939,0,3.9184681154485808,35
246698702,11912323282,0,0.0,72
246699287,245941680,0,810.0,81
246699289,246699287,0,0.08519608282606811,21
246699289,11912323291,0,0.0,0
246699291,253722066,0,0.0,0
246699291,336114699,0,0.0,0
246699291,246699675,0,0.0,0
246699291,479747256,0,0.0,39
246699675,246699676,0,1.7022148820236884e-15,322
246699675,11912323275,0,19.539207523099893,227
246699675,246699291,0,0.0,0
246699675,246699289,0,5.046976712282022,60
246699676,246699675,0,35.793496104775684,322
246699676,253722066,0,5.313353112011315,35
246699676,4865907121,0,490.0,49
246699676,1465594890,0,1.7022148820236884e-15,429
248047383,10044178022,0,1025.432308032264,378
248047383,479747256,0,3.8424162801874364,76
248047383,5664642784,0,1.0475949574947145e-15,492
248798136,95949496,0,219.2591352479486,1549
248798140,1119714822,0,0.0,0
248798140,2967531373,0,0.0,0
250572048,1186349802,0,0.0,0
250638693,506513856,0,644.3547825684138,1608
250638699,1465594890,0,751.2647742432384,1146
250638701,7729453361,0,376.0352503391771,628
253486699,253489680,0,0.0,0
253486699,272994864,0,330.0,33
253486700,323130797,0,0.0,0
253486700,253489925,0,0.0,40
253486701,253486700,0,0.0,0
253486701,12182898785,0,0.0,31
253486702,253486701,0,0.0,0
253486702,266720802,0,2.9819615058891693,204
253486841,253487384,0,2.532367857469763,100
253486841,168316105,0,0.0,0
253486841,253486845,0,24.595849383845394,388
253486845,273000328,0,88.27987747272881,1012
253486845,253486841,0,2.4771281036894678e-15,388
253486845,253487516,0,7.936641949094221e-16,101
253487384,253486841,0,4.683638872824151e-16,100
253487384,253487516,0,2.532367857469763,100
253487516,273000302,0,34.99499650569791,509
253487516,253486845,0,0.4084520486980307,101
253487529,253488290,0,48.81291984579261,37
253487529,253487532,0,11.940651070089407,86
253487529,4927334268,0,430.0,43
253487529,253487606,0,2.91121832149691e-15,206
253487532,253488298,0,2.4406248712043603,37
253487532,253487529,0,1.1562901195154786e-15,86
253487532,5821575723,0,0.0,0
253487592,6304483625,0,726.4409264648563,1577
253487592,253487606,0,70.15444416345431,719
253487606,479747262,0,34.604361586406874,859
253487606,253487592,0,15.493523957418857,719
253487606,253487529,0,225.6601149985747,206
253488290,253487529,0,0.0,37
253488290,6197779285,0,0.0,0
253488298,253488290,0,0.0,0
253488298,253487532,0,0.0,37
253488594,248798136,0,104.63747768736631,1055
253488594,272998691,0,12.357746262767144,129
253489413,4927334272,0,400.0,40
253489413,6304483625,0,8.543754004380901e-15,1577
253489413,9288702019,0,497.20501224174143,1506
253489495,253489502,0,0.0,15
253489495,253489921,0,7.144246226435744,37
253489495,253489511,0,2.349075106806155e-16,55
253489498,1187250361,0,222.3263470002933,1489
253489498,253489921,0,0.0,8
253489502,253489495,0,0.1532723385768836,15
253489502,253490250,0,0.0,38
253489502,253489680,0,0.0,9
253489505,253489605,0,1.079145240123176e-15,143
253489505,253490282,0,31.519919132885782,114
253489506,253489508,0,0.0,0
253489506,253489507,0,1.8042575739428446e-15,176
253489506,253490444,0,24.72139675186413,176
253489507,272995519,0,1.6788641279713447e-15,363
253489507,253489506,0,24.72139675186413,176
