fraction_removed,strategy,metric_type,value
0.0,Targeted,LCC,0.9998720327596136
0.0,Targeted,Efficiency,0.03298920334625893
0.05,Targeted,LCC,0.9827244225478278
0.05,Targeted,Efficiency,0.01985449884122483
0.1,Targeted,LCC,0.9143259325612643
0.1,Targeted,Efficiency,0.011526685532908703
0.15,Targeted,LCC,0.8643547251903513
0.15,Targeted,Efficiency,0.008319499453081613
0.2,Targeted,LCC,0.8377375391899674
0.2,Targeted,Efficiency,0.006104656737084671
0.25,Targeted,LCC,0.7645402776889116
0.25,Targeted,Efficiency,0.0032525162538665883
0.3,Targeted,LCC,0.6710602085866019
0.3,Targeted,Efficiency,0.003715074773385592
0.35,Targeted,LCC,0.40021754430865697
0.35,Targeted,Efficiency,0.0016484310236334152
0.4,Targeted,LCC,0.33098726725958155
0.4,Targeted,Efficiency,0.001253253353363248
0.45,Targeted,LCC,0.12790325676626785
0.45,Targeted,Efficiency,0.0007811919422048731
0.5,Targeted,LCC,0.09943054578028025
0.5,Targeted,Efficiency,0.0009707224490286601
0.55,Targeted,LCC,0.04382877983236291
0.55,Targeted,Efficiency,0.0003221819600396486
0.6,Targeted,LCC,0.03429522042357157
0.6,Targeted,Efficiency,0.00024912055122841933
0.65,Targeted,LCC,0.026361251519610978
0.65,Targeted,Efficiency,0.00021473555725309973
0.7,Targeted,LCC,0.015931921428114403
0.7,Targeted,Efficiency,0.00015415455057803272
0.75,Targeted,LCC,0.01081323181265596
0.75,Targeted,Efficiency,0.00018792262988309076
0.8,Targeted,LCC,0.007614050802994434
0.8,Targeted,Efficiency,3.353046628797288e-05
0.85,Targeted,LCC,0.00601446029816367
0.85,Targeted,Efficiency,7.048663258499421e-05
0.9,Targeted,LCC,0.005566574956811056
0.9,Targeted,Efficiency,6.542510947727114e-05
0.95,Targeted,LCC,0.0023034103269562994
0.95,Targeted,Efficiency,9.988325687696245e-06
1.0,Targeted,LCC,0.00025593448077292216
1.0,Targeted,Efficiency,0.0
0.0,Random,LCC,0.9998720327596134
0.0,Random,Efficiency,0.03199853815941238
0.05,Random,LCC,0.9990978309552755
0.05,Random,Efficiency,0.02594731252586343
0.1,Random,LCC,0.9968404888348583
0.1,Random,Efficiency,0.01929646681745508
0.15,Random,LCC,0.9910538102245825
0.15,Random,Efficiency,0.011638622745265921
0.2,Random,LCC,0.9786934544756543
0.2,Random,Efficiency,0.004039722797212638
0.25,Random,LCC,0.9545729093352102
0.25,Random,Efficiency,0.0017151491144046772
0.3,Random,LCC,0.9090600806193615
0.3,Random,Efficiency,0.0011213263940126773
0.35,Random,LCC,0.8166319022330284
0.35,Random,Efficiency,0.0009014431643044024
0.4,Random,LCC,0.4580369825324717
0.4,Random,Efficiency,0.0007644861291698803
0.45,Random,LCC,0.10397722183121122
0.45,Random,Efficiency,0.0006127540763851815
0.5,Random,LCC,0.03830955275449485
0.5,Random,Efficiency,0.000521414094959547
0.55,Random,LCC,0.01714121184976646
0.55,Random,Efficiency,0.0004298864335536953
0.6,Random,LCC,0.008847655000319919
0.6,Random,Efficiency,0.00030857836950369874
0.65,Random,LCC,0.005295284407191759
0.65,Random,Efficiency,0.0002618381070642282
0.7,Random,LCC,0.0033463433361059568
0.7,Random,Efficiency,0.00029093436225876966
0.75,Random,LCC,0.002099942414741826
0.75,Random,Efficiency,0.00016815835853726003
0.8,Random,LCC,0.0013897242305969673
0.8,Random,Efficiency,0.000139855075801146
0.85,Random,LCC,0.000890651993089769
0.85,Random,Efficiency,8.738176355231166e-05
0.9,Random,LCC,0.0006001663574125024
0.9,Random,Efficiency,6.644460242081174e-05
0.95,Random,LCC,0.00039157975558257093
0.95,Random,Efficiency,4.270410065770807e-05
1.0,Random,LCC,0.0001318062575980549
1.0,Random,Efficiency,1.6021512771659188e-06
