fraction_removed,strategy,metric_type,value
0.0,Targeted,LCC,0.9998720573183214
0.0,Targeted,Efficiency,0.03218718099364472
0.05,Targeted,LCC,0.9845829068577278
0.05,Targeted,Efficiency,0.019657300657045913
0.1,Targeted,LCC,0.9639841351074718
0.1,Targeted,Efficiency,0.013154285390085417
0.15,Targeted,LCC,0.9384595701125895
0.15,Targeted,Efficiency,0.009815006496624932
0.2,Targeted,LCC,0.9133188331627431
0.2,Targeted,Efficiency,0.0065648416700584316
0.25,Targeted,LCC,0.8478761514841351
0.25,Targeted,Efficiency,0.002518329618802571
0.3,Targeted,LCC,0.723899692937564
0.3,Targeted,Efficiency,0.0015191750534340757
0.35,Targeted,LCC,0.5156729785056294
0.35,Targeted,Efficiency,0.0013090179342276117
0.4,Targeted,LCC,0.2677200614124872
0.4,Targeted,Efficiency,0.0010180659201129091
0.45,Targeted,LCC,0.19140225179119755
0.45,Targeted,Efficiency,0.0005724837954304819
0.5,Targeted,LCC,0.14246417604913
0.5,Targeted,Efficiency,0.0002282622494766362
0.55,Targeted,LCC,0.06883316274309109
0.55,Targeted,Efficiency,0.00037621743280025866
0.6,Targeted,LCC,0.018871545547594678
0.6,Targeted,Efficiency,0.0004677069087575914
0.65,Targeted,LCC,0.01106704196519959
0.65,Targeted,Efficiency,0.000117769013917494
0.7,Targeted,LCC,0.009851586489252814
0.7,Targeted,Efficiency,0.00030693595917319333
0.75,Targeted,LCC,0.008700102354145343
0.75,Targeted,Efficiency,7.607034360973295e-05
0.8,Targeted,LCC,0.008252302968270215
0.8,Targeted,Efficiency,0.0004340868592546967
0.85,Targeted,LCC,0.0047978505629478
0.85,Targeted,Efficiency,5.373626895318065e-05
0.9,Targeted,LCC,0.0028147389969293756
0.9,Targeted,Efficiency,6.003188614119523e-06
0.95,Targeted,LCC,0.0028147389969293756
0.95,Targeted,Efficiency,8.92810021252685e-05
1.0,Targeted,LCC,0.00019191402251791197
1.0,Targeted,Efficiency,0.0
0.0,Random,LCC,0.9998720573183213
0.0,Random,Efficiency,0.03195875276534508
0.05,Random,LCC,0.9992489764585466
0.05,Random,Efficiency,0.02608124056869487
0.1,Random,LCC,0.9969268167860799
0.1,Random,Efficiency,0.019386815204543217
0.15,Random,LCC,0.9918730808597748
0.15,Random,Efficiency,0.0117985817970716
0.2,Random,LCC,0.9791031218014329
0.2,Random,Efficiency,0.004101465181479437
0.25,Random,LCC,0.955
0.25,Random,Efficiency,0.001632207863127573
0.3,Random,LCC,0.9064380757420676
0.3,Random,Efficiency,0.0011843598352138406
0.35,Random,LCC,0.8115954452405322
0.35,Random,Efficiency,0.0008779623040672184
0.4,Random,LCC,0.4548874104401229
0.4,Random,Efficiency,0.0007136140972071864
0.45,Random,LCC,0.10537871033776869
0.45,Random,Efficiency,0.000612103500371632
0.5,Random,LCC,0.03667988741044012
0.5,Random,Efficiency,0.0004767811518389006
0.55,Random,LCC,0.017758444216990788
0.55,Random,Efficiency,0.00045254021652529615
0.6,Random,LCC,0.009483111566018424
0.6,Random,Efficiency,0.00035154693053680413
0.65,Random,LCC,0.005510491299897646
0.65,Random,Efficiency,0.00028756916226733515
0.7,Random,LCC,0.0033354657113613103
0.7,Random,Efficiency,0.00023384966223521548
0.75,Random,LCC,0.0021699078812691913
0.75,Random,Efficiency,0.00020059863905478714
0.8,Random,LCC,0.001461105424769703
0.8,Random,Efficiency,0.00013845530457249895
0.85,Random,LCC,0.0009160696008188332
0.85,Random,Efficiency,0.0001350309393426855
0.9,Random,LCC,0.0006051688843398158
0.9,Random,Efficiency,4.505988146593201e-05
0.95,Random,LCC,0.00037871033776867965
0.95,Random,Efficiency,4.283129662175837e-05
1.0,Random,LCC,0.00012794268167860799
1.0,Random,Efficiency,0.0
