fraction_removed,strategy,metric_type,value
0.0,Targeted,LCC,1.0
0.0,Targeted,Efficiency,0.2503784810452281
0.05,Targeted,LCC,1.0
0.05,Targeted,Efficiency,0.19486072239865196
0.1,Targeted,LCC,0.9771428571428571
0.1,Targeted,Efficiency,0.1357974421162028
0.15,Targeted,LCC,0.9485714285714286
0.15,Targeted,Efficiency,0.10263610139703247
0.2,Targeted,LCC,0.8857142857142857
0.2,Targeted,Efficiency,0.09761669778202788
0.25,Targeted,LCC,0.6628571428571428
0.25,Targeted,Efficiency,0.08734392202028671
0.3,Targeted,LCC,0.6571428571428571
0.3,Targeted,Efficiency,0.07244407045262523
0.35,Targeted,LCC,0.6457142857142857
0.35,Targeted,Efficiency,0.06427114029090278
0.4,Targeted,LCC,0.6342857142857142
0.4,Targeted,Efficiency,0.0589310290095366
0.45,Targeted,LCC,0.3314285714285714
0.45,Targeted,Efficiency,0.0505435590952424
0.5,Targeted,LCC,0.32571428571428573
0.5,Targeted,Efficiency,0.04123314732524196
0.55,Targeted,LCC,0.2857142857142857
0.55,Targeted,Efficiency,0.03587189660851899
0.6,Targeted,LCC,0.17142857142857143
0.6,Targeted,Efficiency,0.02720642084594406
0.65,Targeted,LCC,0.16
0.65,Targeted,Efficiency,0.022113256910240853
0.7,Targeted,LCC,0.16
0.7,Targeted,Efficiency,0.01903502907839543
0.75,Targeted,LCC,0.09142857142857143
0.75,Targeted,Efficiency,0.014858392743191458
0.8,Targeted,LCC,0.08
0.8,Targeted,Efficiency,0.010084059136065955
0.85,Targeted,LCC,0.05714285714285714
0.85,Targeted,Efficiency,0.007653767357181247
0.9,Targeted,LCC,0.03428571428571429
0.9,Targeted,Efficiency,0.004152969756724194
0.95,Targeted,LCC,0.03428571428571429
0.95,Targeted,Efficiency,0.002914451125580426
1.0,Targeted,LCC,0.017142857142857144
1.0,Targeted,Efficiency,0.00037470749368647934
0.0,Random,LCC,1.0
0.0,Random,Efficiency,0.2503784810452281
0.05,Random,LCC,0.9979428571428572
0.05,Random,Efficiency,0.21433703391377634
0.1,Random,LCC,0.9958857142857143
0.1,Random,Efficiency,0.179216182458185
0.15,Random,LCC,0.9894857142857143
0.15,Random,Efficiency,0.14346083954625533
0.2,Random,LCC,0.9753142857142858
0.2,Random,Efficiency,0.11508505502295098
0.25,Random,LCC,0.9203428571428571
0.25,Random,Efficiency,0.09367104528721425
0.3,Random,LCC,0.8350857142857143
0.3,Random,Efficiency,0.07709717746281926
0.35,Random,LCC,0.7390857142857143
0.35,Random,Efficiency,0.0642499062915161
0.4,Random,LCC,0.6065142857142858
0.4,Random,Efficiency,0.05440973792074016
0.45,Random,LCC,0.5010285714285714
0.45,Random,Efficiency,0.04678949852645022
0.5,Random,LCC,0.3516571428571429
0.5,Random,Efficiency,0.040103829542863983
0.55,Random,LCC,0.2570285714285714
0.55,Random,Efficiency,0.0344203374299211
0.6,Random,LCC,0.18228571428571427
0.6,Random,Efficiency,0.02979114254535008
0.65,Random,LCC,0.1336
0.65,Random,Efficiency,0.02496365191368279
0.7,Random,LCC,0.10788571428571428
0.7,Random,Efficiency,0.02026078965284559
0.75,Random,LCC,0.07565714285714285
0.75,Random,Efficiency,0.016678614290244517
0.8,Random,LCC,0.054400000000000004
0.8,Random,Efficiency,0.013182193495867613
0.85,Random,LCC,0.04045714285714285
0.85,Random,Efficiency,0.009522475980740545
0.9,Random,LCC,0.03005714285714286
0.9,Random,Efficiency,0.006567437716836652
0.95,Random,LCC,0.021714285714285714
0.95,Random,Efficiency,0.003940452645249953
1.0,Random,LCC,0.012685714285714286
1.0,Random,Efficiency,0.0008971376633345607
